ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
Time,2026-Aug-16 23:53:05,2026-Aug-16 23:53:05,2026-Aug-16 23:53:05,2026-Aug-16 23:53:06,2026-Aug-16 23:53:06,2026-Aug-16 23:53:06,2026-Aug-16 23:53:06,2026-Aug-16 23:53:06,2026-Aug-16 23:53:07,2026-Aug-16 23:53:07,2026-Aug-16 23:53:07,2026-Aug-16 23:53:07,2026-Aug-16 23:53:08,2026-Aug-16 23:53:08,2026-Aug-16 23:53:08,2026-Aug-16 23:53:08,2026-Aug-16 23:53:09,2026-Aug-16 23:53:09,2026-Aug-16 23:53:09,2026-Aug-16 23:53:10,2026-Aug-16 23:53:10,2026-Aug-16 23:53:11,2026-Aug-16 23:53:11,2026-Aug-16 23:53:12,2026-Aug-16 23:53:13,2026-Aug-16 23:53:14,2026-Aug-16 23:53:15,2026-Aug-16 23:53:15,2026-Aug-16 23:53:15,2026-Aug-16 23:53:16,2026-Aug-16 23:53:16,2026-Aug-16 23:53:16,2026-Aug-16 23:53:17,2026-Aug-16 23:53:17,2026-Aug-16 23:53:17,2026-Aug-16 23:53:17,2026-Aug-16 23:53:17,2026-Aug-16 23:53:18,2026-Aug-16 23:53:18,2026-Aug-16 23:53:18,2026-Aug-16 23:53:18,2026-Aug-16 23:53:19,2026-Aug-16 23:53:19,2026-Aug-16 23:53:19,2026-Aug-16 23:53:19,2026-Aug-16 23:53:20,2026-Aug-16 23:53:20,2026-Aug-16 23:53:20,2026-Aug-16 23:53:21,2026-Aug-16 23:53:21,2026-Aug-16 23:53:22,2026-Aug-16 23:53:22,2026-Aug-16 23:53:23,2026-Aug-16 23:53:24,2026-Aug-16 23:53:25,2026-Aug-16 23:53:26,2026-Aug-16 23:53:26,2026-Aug-16 23:53:26,2026-Aug-16 23:53:27,2026-Aug-16 23:53:27,2026-Aug-16 23:53:27,2026-Aug-16 23:53:28,2026-Aug-16 23:53:28,2026-Aug-16 23:53:28,2026-Aug-16 23:53:28,2026-Aug-16 23:53:28,2026-Aug-16 23:53:29,2026-Aug-16 23:53:29,2026-Aug-16 23:53:29,2026-Aug-16 23:53:30,2026-Aug-16 23:53:30,2026-Aug-16 23:53:30,2026-Aug-16 23:53:30,2026-Aug-16 23:53:31,2026-Aug-16 23:53:31,2026-Aug-16 23:53:31,2026-Aug-16 23:53:32,2026-Aug-16 23:53:32,2026-Aug-16 23:53:33,2026-Aug-16 23:53:33,2026-Aug-16 23:53:33,2026-Aug-16 23:53:34,2026-Aug-16 23:53:35,2026-Aug-16 23:53:36,2026-Aug-16 23:53:37,2026-Aug-16 23:53:37,2026-Aug-16 23:53:38
API Call ID,936,938,940,942,944,946,948,950,954,956,958,962,964,969,973,975,979,983,985,989,993,995,999,1003,1005,1009,1013,1015,1017,1099,1100,1101,1102,1103,1104,1105,1106,1107,1108,1109,1110,1111,1113,1114,1115,1116,1117,1118,1119,1120,1121,1122,1123,1124,1125,1126,1127,1128,1138,1139,1140,1141,1142,1143,1144,1145,1146,1147,1148,1149,1150,1152,1153,1154,1155,1156,1157,1158,1159,1160,1161,1162,1163,1164,1165,1166,1167
Estimated Speedup [%],44.29,55.06,62.35,49.64,0.00,62.58,49.59,0.00,26.42,48.32,0.00,12.77,45.00,33.33,20.00,0.00,16.41,22.00,0.00,16.15,15.55,0.00,19.93,18.88,42.24,26.02,20.92,55.73,64.25,46.56,55.20,62.31,49.34,0.00,63.04,49.59,0.00,26.37,48.24,0.00,12.74,42.41,33.33,20.00,0.00,16.43,21.97,0.00,16.13,15.55,0.00,19.95,18.89,43.25,26.04,20.99,56.04,64.10,44.48,55.12,62.37,50.11,0.00,62.39,49.89,0.00,26.55,48.47,0.00,12.73,45.54,33.33,20.00,0.00,16.45,22.04,0.00,16.15,15.53,0.00,19.91,18.88,44.82,26.05,21.10,56.03,64.17
Runtime Improvement [ms],0.16,0.27,0.53,0.19,0.00,0.30,0.06,0.00,0.05,0.02,0.00,0.01,0.01,0.01,0.01,0.00,0.03,0.04,0.00,0.12,0.07,0.00,0.25,0.14,0.57,1.01,0.40,0.33,0.02,0.17,0.27,0.52,0.19,0.00,0.30,0.06,0.00,0.05,0.02,0.00,0.01,0.01,0.01,0.01,0.00,0.03,0.04,0.00,0.12,0.07,0.00,0.25,0.14,0.57,1.01,0.40,0.33,0.02,0.16,0.27,0.53,0.19,0.00,0.30,0.06,0.00,0.05,0.02,0.00,0.01,0.01,0.01,0.01,0.00,0.03,0.04,0.00,0.12,0.07,0.00,0.25,0.14,0.59,1.01,0.41,0.33,0.02
Issues Detected [issue],5,6,6,6,4,8,5,4,6,5,4,9,7,10,10,4,9,9,4,6,6,4,6,6,5,6,6,8,8,5,6,6,6,4,8,5,4,6,5,4,9,6,10,10,4,9,9,4,6,6,4,6,6,5,6,6,8,8,5,6,6,6,4,8,6,4,6,6,3,9,7,10,10,4,9,9,4,6,6,4,6,6,5,6,6,8,8
Function Name,__myl_MoveMoveConc_0xaa6385b54fc50198c5ac8b871b907df1,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x16_stage1_warpsize4x1x1_g1_tensor16x8x16_aligna4_alignc4_execute_kernel_trt,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc8_execute_kernel_trt,sm50_xmma_pooling_coalescedC_NHWC_kMAX_2_False_execute_kernel_trt,__myl_Move_0x73c2562985564028171b531f9e63b42a,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc4_execute_kernel_trt,sm50_xmma_pooling_coalescedC_NHWC_kMAX_2_False_execute_kernel_trt,__myl_Move_0x13b11ec55f77e4a7ddbf1496eff76637,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,sm50_xmma_pooling_coalescedC_NHWC_kMAX_2_False_execute_kernel_trt,__myl_Move_0x6bc5ac5863891cf51d639f06ed4c397a,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,sm50_xmma_pooling_coalescedC_NHWC_kMAX_2_False_execute_kernel_trt,sm80_xmma_fprop_wngd_f16f16_f16_f16_nhwckrsc_nhwc_tilesize16x16x64x16_warpsize8x1x1_wngd2x2_execute_kernel_trt,sm80_xmma_fprop_implicit_gemm_indexed_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize64x128x32_stage5_warpsize2x2x1_g1_tensor16x8x16_execute_kernel_trt,__myl_Resi_0xa7b4e9e33920912ae0b6150a0ce004a0,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,__myl_Resi_0x37b3228eb949156739af9f17e1082c8b,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel_trt,__myl_Resi_0x7b2cf9f0392c313575e2d572d70195a5,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,__myl_ResiConcConc_0xf80c4ee37d6f8a1bff56ede3174b8f1a,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize256x32x32_stage4_warpsize4x1x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x16x32_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc2_execute_kernel_trt,__myl_Tran_0x8d1e185860f49cd7a7a5dbd2868b156b,__myl_MoveMoveConc_0xaa6385b54fc50198c5ac8b871b907df1,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x16_stage1_warpsize4x1x1_g1_tensor16x8x16_aligna4_alignc4_execute_kernel_trt,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc8_execute_kernel_trt,sm50_xmma_pooling_coalescedC_NHWC_kMAX_2_False_execute_kernel_trt,__myl_Move_0x73c2562985564028171b531f9e63b42a,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc4_execute_kernel_trt,sm50_xmma_pooling_coalescedC_NHWC_kMAX_2_False_execute_kernel_trt,__myl_Move_0x13b11ec55f77e4a7ddbf1496eff76637,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,sm50_xmma_pooling_coalescedC_NHWC_kMAX_2_False_execute_kernel_trt,__myl_Move_0x6bc5ac5863891cf51d639f06ed4c397a,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,sm50_xmma_pooling_coalescedC_NHWC_kMAX_2_False_execute_kernel_trt,sm80_xmma_fprop_wngd_f16f16_f16_f16_nhwckrsc_nhwc_tilesize16x16x64x16_warpsize8x1x1_wngd2x2_execute_kernel_trt,sm80_xmma_fprop_implicit_gemm_indexed_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize64x128x32_stage5_warpsize2x2x1_g1_tensor16x8x16_execute_kernel_trt,__myl_Resi_0xa7b4e9e33920912ae0b6150a0ce004a0,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,__myl_Resi_0x37b3228eb949156739af9f17e1082c8b,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel_trt,__myl_Resi_0x7b2cf9f0392c313575e2d572d70195a5,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,__myl_ResiConcConc_0xf80c4ee37d6f8a1bff56ede3174b8f1a,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize256x32x32_stage4_warpsize4x1x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x16x32_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc2_execute_kernel_trt,__myl_Tran_0x8d1e185860f49cd7a7a5dbd2868b156b,__myl_MoveMoveConc_0xaa6385b54fc50198c5ac8b871b907df1,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x16_stage1_warpsize4x1x1_g1_tensor16x8x16_aligna4_alignc4_execute_kernel_trt,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc8_execute_kernel_trt,sm50_xmma_pooling_coalescedC_NHWC_kMAX_2_False_execute_kernel_trt,__myl_Move_0x73c2562985564028171b531f9e63b42a,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc4_execute_kernel_trt,sm50_xmma_pooling_coalescedC_NHWC_kMAX_2_False_execute_kernel_trt,__myl_Move_0x13b11ec55f77e4a7ddbf1496eff76637,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,sm50_xmma_pooling_coalescedC_NHWC_kMAX_2_False_execute_kernel_trt,__myl_Move_0x6bc5ac5863891cf51d639f06ed4c397a,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,sm50_xmma_pooling_coalescedC_NHWC_kMAX_2_False_execute_kernel_trt,sm80_xmma_fprop_wngd_f16f16_f16_f16_nhwckrsc_nhwc_tilesize16x16x64x16_warpsize8x1x1_wngd2x2_execute_kernel_trt,sm80_xmma_fprop_implicit_gemm_indexed_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize64x128x32_stage5_warpsize2x2x1_g1_tensor16x8x16_execute_kernel_trt,__myl_Resi_0xa7b4e9e33920912ae0b6150a0ce004a0,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,__myl_Resi_0x37b3228eb949156739af9f17e1082c8b,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x128x32_stage4_warpsize2x2x1_g1_tensor16x8x16_execute_kernel_trt,__myl_Resi_0x7b2cf9f0392c313575e2d572d70195a5,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,__myl_ResiConcConc_0xf80c4ee37d6f8a1bff56ede3174b8f1a,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,sm80_xmma_fprop_implicit_gemm_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize256x32x32_stage4_warpsize4x1x1_g1_tensor16x8x16_t1r3s3_execute_kernel_trt,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f16_f16_nhwckrsc_nhwc_tilesize128x16x32_stage1_warpsize4x1x1_g1_tensor16x8x16_alignc2_execute_kernel_trt,__myl_Tran_0x8d1e185860f49cd7a7a5dbd2868b156b
